location,population,MaxInfectionCt,InfectionRate
Cyprus,896007,660854,73.755450571256702
San Marino,33690,24367,72.327100029682398
Brunei,449002,310019,69.04624032855088
Austria,8939617,6081287,68.026258843080186
Faeroe Islands,53117,34658,65.248413878795859
South Korea,51815808,33201796,64.076576785215821
Slovenia,2119843,1344637,63.430971067196964
Gibraltar,32677,20550,62.888270037029102
Martinique,367512,230354,62.679313872744288
Andorra,79843,48015,60.136768408000698
Jersey,110796,66391,59.921838333513847
Luxembourg,647601,382946,59.133015545065561
Saint Pierre and Miquelon,5885,3426,58.215802888700082
Denmark,5882259,3414674,58.050385064649475
France,67813000,38997490,57.507395337177236
Iceland,372903,208757,55.981582341788616
Guernsey,63329,35326,55.781711380252332
Liechtenstein,39355,21473,54.562317367551771
Portugal,10270857,5596420,54.488345032941268
Latvia,1850654,975790,52.726765781177896
Greece,10384972,5344865,51.467302945063309
Guadeloupe,395762,203235,51.352833268479536
Israel,9449000,4831302,51.130299502592869
Reunion,974062,494595,50.776541944968599
Falkland Islands,3801,1923,50.591949486977107
Switzerland,8740471,4407570,50.427145173297873
Saint Barthelemy,10994,5507,50.090958704748047
Georgia,3744385,1845538,49.288147452785971
Netherlands,17564020,8616599,49.058239514644143
Lithuania,2750058,1321908,48.068368012601915
Seychelles,107135,50937,47.544686610351427
Bahrain,1472237,696614,47.316702405930563
Monaco,36491,16858,46.197692581732483
Germany,83369840,38437756,46.105109473641789
Cayman Islands,68722,31472,45.796106050464189
New Zealand,5185289,2360435,45.521763589261852
Estonia,1326064,601746,45.37835277935303
Singapore,5637022,2534940,44.969489209018519
Isle of Man,84534,38008,44.961790522156761
Czechia,10493990,4643049,44.244839188907179
Australia,26177410,11560270,44.161244370623379
Bonaire Sint Eustatius and Saba,27052,11922,44.070678692887775
Italy,59037472,25912481,43.891582959378752
Nauru,12691,5393,42.494681270191478
Cook Islands,17032,7218,42.379051197745419
Niue,1952,822,42.110655737704917
Aruba,106459,44224,41.540874890803032
Belgium,11655923,4802496,41.202193940368339
European Union,450146793,183716601,40.812597991784429
Saint Helena,5401,2166,40.103684502869839
Montenegro,627082,251133,40.047872527037931
Barbados,281646,109503,38.879657442321211
Saint Martin (French part),31816,12324,38.735227558461148
Marshall Islands,41593,16098,38.703628014329333
Puerto Rico,3252412,1252713,38.516430267752057
Serbia,6871547,2544741,37.033014545341828
United Kingdom,67508936,24651375,36.515721415013857
Maldives,523798,186687,35.641029557195715
Ireland,5023108,1714643,34.13510121621912
High income,1250514600,423775785,33.888111742157989
Palau,18084,6122,33.853129838531295
Europe,744807803,249042104,33.437096523007291
Slovakia,5643455,1866857,33.080036963172383
French Guiana,304568,98041,32.190184129652494
Oceania,45038860,14410452,31.995596691390499
Montserrat,4413,1403,31.792431452526625
Croatia,4030361,1274123,31.613123489434319
Wallis and Futuna,11596,3550,30.614004829251467
United States,338289856,103436829,30.576390975199679
Uruguay,3422796,1038774,30.348697380737853
Guam,171783,51786,30.146172787761305
Mongolia,3398373,1010954,29.748176553897999
Spain,47558632,13980340,29.396009540392164
Bermuda,64207,18860,29.373744295793291
Northern Mariana Islands,49574,14096,28.43425989429943
New Caledonia,289959,80064,27.612179652985425
Norway,5434324,1486301,27.350246323185733
Japan,123951696,33803572,27.271568756913179
Chile,19603736,5288791,26.97848512140747
Finland,5540745,1483208,26.769107764389084
Tuvalu,11335,2943,25.963828848698721
Sweden,10549349,2712743,25.71479055247864
French Polynesia,306292,78690,25.691170517022972
United States Virgin Islands,99479,25389,25.521969460891242
Sint Maarten (Dutch part),44192,11051,25.006788559015209
Anguilla,15877,3904,24.589028153933363
Curacao,191173,45883,24.000774167900278
Costa Rica,5180836,1238883,23.912800945638889
Mauritius,1299478,308739,23.758693875540793
Panama,4408582,1047321,23.756414193951706
British Virgin Islands,31332,7305,23.314821907315206
Micronesia (country),114178,26472,23.184851722748689
Lebanon,5489744,1238552,22.561197753483587
Malta,533293,119288,22.368191594489335
Hungary,9967304,2203289,22.105165047639762
Argentina,45510324,10044957,22.071820451113467
Dominica,72758,15760,21.6608482915968
Greenland,56494,11971,21.189860870180905
North America,600323657,124412341,20.724210940099599
Turkey,85341248,17004677,19.925507768529467
Bulgaria,6781955,1298909,19.152427286822164
Qatar,2695131,514524,19.090871649652652
Moldova,3272993,620823,18.96805156625755
American Samoa,44295,8332,18.8102494638221
Brazil,215313504,37717062,17.517276575462727
Belize,405285,70782,17.464747029867873
Romania,19659270,3409997,17.345491465349426
Saint Lucia,179872,30052,16.707436399217222
North Macedonia,2093606,348374,16.639902636885832
Poland,39857144,6518206,16.353921394869637
Armenia,2780472,449273,16.158155881447467
Russia,144713312,22977274,15.877788769011106
South America,436816679,68803685,15.751157935981652
Tonga,106867,16819,15.738254091534337
Grenada,125459,19693,15.696761491802103
Kuwait,4268886,666011,15.601517585618355
Jordan,11285875,1746997,15.479499817249437
Kosovo,1782115,273918,15.370388555171804
Malaysia,33938216,5121920,15.091895225134994
Turks and Caicos Islands,45726,6630,14.499409526308884
Ukraine,39701744,5518385,13.899603503563974
Saint Kitts and Nevis,47681,6607,13.856672469117678
Palestine,5250076,703228,13.394625144474098
Suriname,618046,82588,13.362759406257787
Peru,34049588,4517034,13.266045979763398
Mayotte,326113,42027,12.887250738241038
Botswana,2630300,330176,12.55278865528647
Trinidad and Tobago,1531043,191496,12.507552041320851
Bosnia and Herzegovina,3233530,403053,12.464798532872742
Colombia,51874028,6377142,12.293516131039603
Canada,38454328,4697504,12.21580052055519
Vietnam,98186856,11621812,11.83642340070447
Albania,2842318,334090,11.754138699469939
United Arab Emirates,9441138,1067030,11.30192144209734
Paraguay,6780745,735759,10.850710357047788
Cape Verde,593162,64189,10.821495645371753
Belarus,9534956,994037,10.425187069557532
Cuba,11212198,1115064,9.9450972949282548
Bolivia,12224114,1206420,9.8691815210492955
Antigua and Barbuda,93772,9106,9.7107878684468716
Upper middle income,2525921300,244230202,9.6689553233507315
World,7975105024,768982331,9.6422846932529627
Tunisia,12356116,1153361,9.3343328923101723
Bahamas,409989,38084,9.2890297056750306
Saint Vincent and the Grenadines,103959,9631,9.2642291672678656
Guyana,808727,73385,9.0741375025193918
Oman,4576300,399449,8.7286454122325896
Iran,88550568,7612935,8.597274045718148
Pitcairn,47,4,8.5106382978723403
Azerbaijan,10358078,832021,8.0325809479326189
Bhutan,782457,62691,8.0120696728382512
Kazakhstan,19397998,1502857,7.7474850755217108
Samoa,222390,16775,7.543054993479922
Libya,6812344,507266,7.4462769349287115
Fiji,929769,69047,7.4262531876197206
Guatemala,17843914,1271061,7.1232185943061594
China,1425887360,99300040,6.9640872614229492
South Africa,59893884,4072533,6.7995807384941003
Namibia,2567024,171998,6.7002879599099963
Thailand,71697024,4755175,6.6323185185482734
Asia,4721383370,299202996,6.337189178518245
Eswatini,1201680,74882,6.2314426469609208
Mexico,127504120,7633355,5.9867516437900203
Dominican Republic,11228821,667048,5.9404990069749974
Ecuador,18001002,1069114,5.9391916072227531
Iraq,44496124,2465545,5.5410331920146572
Jamaica,2827382,155860,5.5125200627294086
Honduras,10432858,474566,4.5487631481229789
Tokelau,1893,80,4.2260961436872693
Kiribati,131237,5082,3.8723835503707034
Vanuatu,326744,12019,3.6784149058590212
Philippines,115559008,4172920,3.611072881484064
Morocco,37457976,1275273,3.4045432673671425
Nepal,30547586,1003396,3.2846981754957656
Vatican,808,26,3.217821782178218
El Salvador,6336393,201785,3.1845404791022278
India,1417173120,44995665,3.1750295263855977
Sri Lanka,21832150,672569,3.0806356680400238
Solomon Islands,724272,21611,2.9838237568206418
Laos,7529477,218739,2.9051021737631975
Sao Tome and Principe,227393,6589,2.8976265760159725
Lower middle income,3432097300,97449458,2.8393559238544896
Indonesia,275501344,6812670,2.4728264120555434
Saudi Arabia,36408824,841469,2.3111677542784683
Gabon,2388997,48992,2.0507350992906228
Venezuela,28301700,552695,1.9528685555991336
Timor,1341298,23460,1.7490520376530792
Zambia,20017670,349287,1.7448933866928567
Zimbabwe,16320539,265694,1.6279731937774851
Lesotho,2305826,34490,1.4957763508608195
Djibouti,1120851,15690,1.3998292368923255
Mauritania,4736146,63712,1.3452287999567583
Kyrgyzstan,6630621,87906,1.3257581755916978
Bangladesh,171186368,2044532,1.1943310813160075
Myanmar,54179312,641063,1.1832246965409969
Comoros,836783,9109,1.0885737401452944
Equatorial Guinea,1674916,17130,1.0227378567044556
Rwanda,13776702,133194,0.96680613400797966
Africa,1426736614,13105246,0.91854697436116961
Cambodia,16767851,138937,0.82859157085782786
Mozambique,32969520,233417,0.70797815679451803
Pakistan,235824864,1580631,0.67025629663884811
Kenya,54027484,343918,0.63656119911117837
Algeria,44903228,271852,0.60541749916063936
Afghanistan,41128772,224201,0.54511960629410472
Senegal,17316452,89014,0.51404294597992706
Ghana,33475870,171653,0.51276635976899176
Uzbekistan,34627648,171525,0.49534117939514694
Gambia,2705995,12626,0.46659361898303581
Egypt,110990096,516023,0.46492706880801327
Papua New Guinea,10142625,46864,0.46205001170801446
Guinea-Bissau,2105580,9614,0.45659628225951993
Cameroon,27914542,125090,0.44811768718970924
Togo,8848700,39510,0.44650626645721975
Malawi,20405318,88835,0.4353521959324525
Congo,5970430,25196,0.42201315483139407
Burundi,12889583,54234,0.42075837519336351
Ethiopia,123379928,500946,0.40601904063357863
Uganda,47249588,171729,0.36345078818465043
Low income,737604900,2315033,0.31385813733070372
Cote d'Ivoire,28160548,88338,0.3136941795308813
Angola,35588996,105384,0.29611400108055869
Haiti,11585003,34301,0.29608106273256901
Guinea,13859349,38563,0.27824539233408435
Eritrea,3684041,10189,0.27657129765928229
Central African Republic,5579148,15367,0.27543632110135813
Syria,22125242,57423,0.25953614428262528
Madagascar,29611718,68289,0.23061478567369847
Nicaragua,6948395,15984,0.23003873556411231
Benin,13352864,28014,0.20979768834611059
Tajikistan,9952789,17786,0.17870367793389369
South Sudan,10913172,18368,0.16831036842450572
Somalia,17597508,27334,0.15532881132942233
Liberia,5302690,8090,0.15256407596898933
Mali,22593598,33151,0.14672740481617846
Sudan,46874200,63993,0.13652072995379122
Nigeria,218541216,266675,0.12202503714448078
Democratic Republic of Congo,99010216,97697,9.8673656059895878E-2
Burkina Faso,22673764,22056,9.7275423701155231E-2
Sierra Leone,8605723,7762,9.0195791800410027E-2
Tanzania,65497752,43078,6.5770196204596454E-2
Chad,17723312,7698,4.3434319725342528E-2
Niger,26207982,9515,3.6305733115964446E-2
Yemen,33696612,11945,3.5448667658339067E-2
Turkmenistan,6430777,,
England,56550000,,
Wales,3170000,,
Scotland,5466000,,
Western Sahara,576005,,
Hong Kong,7488863,,
Northern Cyprus,382836,,
Macao,695180,,
Northern Ireland,1896000,,
Taiwan,23893396,,
North Korea,26069416,,
